key,value,accept
06h87,9403,false
rmvxu,1063,true
np1ap,3728,true
f0yd6,3716,true
rxddn,7237,false
uw48k,1456,true
ab6c4,8462,true
bvda6,4277,true
8c1lb,1797,false
lazpn,5857,false
02dum,9255,true
dzfdx,6615,true
zf80q,7838,true
ijyp6,3641,true
2hb56,6352,true
m97dw,2992,true
yzzqs,9301,false
0ophy,6263,true
qllk5,9171,true
0v5rl,3364,true
wnpra,4509,false
8xwd7,9240,true
b30ig,920,false
hjcyt,3394,false
2pr2u,4314,true
zev2k,1250,true
pyxea,9331,true
sev2c,1222,true
1h0ny,9306,false
7wm7v,3894,false
wviar,304,false
6dk20,1689,false
ocntq,3507,true
hpsgv,8116,true
sfocf,1518,true
rx1bn,3195,true
nvia7,7274,false
ar4dv,7142,false
8c9gj,965,false
p95ce,7655,false
pvhjw,668,false
kmh1g,9064,false
x7ay5,6073,false
25wy9,3027,false
jgl28,1864,true
3498b,9456,true
7nk2n,8707,true
gn7cp,9215,true
b6qps,4092,true
xs95e,364,true
8sa3k,9771,true
fz1kt,7419,false
tgf1y,6577,false
s1l9x,8522,false
4kcup,8650,true
jcu0z,7040,false
guat7,9465,false
7gdpt,2521,false
hztll,9088,true
omjv4,7195,true
rnai3,9399,true
uytvd,5715,false
1mwzg,7221,false
vr86h,9066,true
o8glp,5906,true
wrwau,2249,true
khjmx,3031,false
e7mth,8339,false
3p6t9,7911,true
g77rq,4024,true
7qddn,9705,true
os4t6,230,false
isrzs,6871,false
d9ioz,4423,false
eqxmr,5392,false
znlzo,6209,false
08r8l,771,true
udgl7,4076,true
if9qo,8750,false
jrw1n,7759,true
x3xjc,6132,true
tivn1,5223,false
smi4w,6338,false
obn7w,3305,false
ia3rg,2153,false
snw0m,1925,false
48vfb,9767,true
xbio5,1732,false
w5ya0,6532,false
lcs5i,9943,false
ekwyb,782,false
xkh5s,8719,false
3a53o,8219,true
uruez,2990,false
wpqn8,1865,false
4t37y,4884,true
h3y4c,9196,false
5zr7x,4965,false
8n6uw,2591,true
ipcqs,631,true
hfy3j,5228,false
3buhd,2051,false
bvz6l,2579,true
c6cev,9204,false
dcclw,5817,false
jwuxj,7503,false
l223j,4869,false
4e9gj,608,true
dzh43,2356,false
q3e6y,5585,false
6k84i,107,false
2325n,3453,false
mef9k,4336,false
pii7e,4497,false
68nkf,9779,false
cr3fl,7081,false
ujxyw,1341,false
u7c8i,9646,true
7u017,4720,true
4cgqm,5377,true
9hjit,5476,false
qhsqd,4461,false
k1e5p,7955,false
rkm76,7989,true
dvyb5,8651,false
aqwdc,8736,true
3rn4j,9632,true
41ckx,1978,true
gve79,6148,false
ebtxl,1280,false
yfzn7,6231,false
pov48,2323,false
xgt6d,8249,false
qo403,1589,false
7nr8k,9639,true
k5m5i,6998,false
qberd,6819,true
un37m,4189,false
sms0w,6123,true
mabi3,6734,true
c0jfw,8057,true
dsq85,5750,true
n4alm,2298,false
vubt4,3450,true
k6ca7,7200,false
3t4ne,2739,false
87qes,8917,false
94zny,5571,false
upgt6,1332,true
jxoae,7292,false
786o0,5602,true
a0zib,5780,false
ry7z8,9962,false
kijeh,5567,true
6engd,7902,false
vrza7,9580,false
iro64,1642,true
sazsj,762,true
tblnq,694,false
kn8sj,5042,true
0nzby,1434,true
m7dxa,7012,true
shgp3,6126,true
xuh8v,2385,true
ddznf,9771,false
oykvl,7267,false
h643f,2255,false
niswd,1096,false
ew7aj,4858,false
zfxn4,8880,true
ot6ek,5587,false
0x1rl,6008,true
rsd8x,7993,false
lvu10,5186,true
hk8ut,1004,true
58lal,1701,true
sj01b,1887,true
1fxa6,9053,false
cvndn,9646,false
3k7jq,6823,true
5g1cr,689,true
xykel,6077,true
2j814,5260,true
8s6qp,4993,true
bwuj4,9426,true
hyeu3,2095,true
v0k82,4626,false
p2eva,5144,true
3s5nx,3761,false
s2awo,3278,true
nhko1,7668,true
p7gvw,3204,false
g7muv,2583,false
pqfmz,8095,true
z3rg6,4463,true
u5yps,3549,false
ntlb8,5336,false
09onk,3175,false
72d0i,8542,false
4cf75,4379,true
wj7dv,7223,true
ur2o3,724,false
8npe4,4161,false
b6ty7,1395,false
iuyga,6766,true
pz1w4,4478,false
7xd0b,8401,true
pbffz,5959,true
cpjcc,9418,false
t3o19,4191,true
b40vy,8028,true
j06rq,1866,true
2tzry,8161,false
au0kf,4732,false
wandm,1728,true
pcmol,5930,false
yjexl,5193,true
51tc3,1309,true
ski3b,5246,false
zdhf6,4052,true
htzwk,5445,true
80ju9,2620,true
1qoak,214,true
hyxuf,1173,true
t47im,736,false
7r1pj,3291,false
bgat3,8281,false
1ol7k,2549,false
tupjj,3995,true
km1ar,2192,false
ehrg5,8594,false
632zo,716,false
breju,2175,false
o60p3,928,true
683pp,9304,true
pmbvh,2645,true
hvs21,9529,false
uqoqp,2264,true
ytr6e,1324,false
p8pqh,7493,true
q5d7z,5203,true
qdc3k,9881,true
8esca,19,false
unwyz,1067,false
u1sgs,4922,true
307s4,9193,false
utf7h,6696,false
tlo50,7041,false
cxlo9,8175,false
cszdd,2218,true
d3189,2826,false
h7grk,4886,false
7bq65,791,true
66cnj,1602,true
bwycw,8583,true
9nifh,6289,false
awtpg,7853,true
s2uh4,2893,false
tzor1,6961,false
ktun0,9606,false
x6rtp,6323,true
j56ep,6777,true
uv7uf,2090,false
zvmk6,3666,true
2tfgg,2066,false
m40x1,3464,true
fhaeu,1720,false
opn5e,4824,true
